MUESTRA,ACIDEZ,PH,AW,SOLUBILIDAD,CRA,CRAC,L,C,H,AE,HUMEDAD,FRUCTUOSA,GLUCOSA,SACAROSA,EXTRACTO ETEREO,FDT,FDI,FDS,PROTEINA,CENIZA
PiLIO50,0.4268764165,4.1,0.394,37.5060914719,6.2189984102,0.9064,69.1894,29.6914,87.8339,11.2606794183,5.4022138268,2.3209395163,5.5702548392,11.7013244512,0.5537869744,44.0946512201,1.2496918906,45.3443431107,6.2955,3.0522917152
PiLIO50,0.4268764165,4.1,0.392,37.6152186703,6.2834394904,1.8417266187,68.545,28.9915,85.6513,11.2650149409,5.3597734843,2.4725477872,6.424002662,10.4476108482,0.6295593085,44.4518803376,1.550117365,46.0019977026,6.3035,3.0379746835
PiLIO50,0.4123448567,4.1,0.392,37.9556259905,6.8959078268,1.2947033055,68.5967,29.0432,85.4317,11.3458796602,5.4579563208,2.7327086701,6.2991250701,11.0159068977,0.6146519677,44.0946512201,1.2496918906,46.0019977026,6.3586,2.9285643054
PiLIO50,0.4268764165,4.1,0.394,38.3060914719,6.2189984102,0.9064,74.5935,29.8745,86.1452,11.4761698811,5.5322138268,2.7619180244,6.8931903635,10.0117752156,0.5537869744,44.0946512201,1.550117365,45.3443431107,6.3505,3.0522917152
PiLIO60,0.4123448567,4.1,0.385,53.503693352,10.3690901867,2.221210922,74.5592,29.2383,91.9742,11.5503323323,5.3359946773,3.1549034391,5.613872296,13.6225791493,0.6447324693,40.7867350495,2.1417118956,42.9284469452,7.0847,2.8110445775
PiLIO60,0.407203361,4.1,0.384,53.5087719298,10.8480255285,1.5237146273,74.4169,29.2155,91.8839,11.5478095829,4.8382299481,2.6936339677,5.4104889178,14.9018230761,0.6416404829,40.0268376323,2.1265344665,42.1533720988,7.0173,3.1428665851
PiLIO60,0.4123448567,4.1,0.385,52.5260467859,10.5790734824,2.1934205311,74.6416,29.1903,91.8933,11.5508430195,4.8796724695,3.0908596541,5.5542515588,14.7580604351,0.6575734887,40.7867350495,2.1417118956,42.9284469452,7.1645,3.1754485238
PiLIO60,0.4123448567,4.1,0.384,53.0369335197,10.4690901867,2.1210922042,76.4616,29.266,91.8471,11.5449146375,5.3359946773,2.922925245,6.5417850722,13.6727910228,0.6447324693,40.0268376323,2.1265344665,42.1533720988,7.0847,2.9110445775
PiLIO60,0.407203361,4.1,0.383,53.3087719298,10.6480255285,1.9237146273,76.3507,29.7402,91.915,11.5470425739,4.8382299481,2.8794018275,6.2696652695,12.1664090703,0.6516404829,40.7867350495,2.1417118956,42.9284469452,7.0573,3.0428665851
PiLIO60,0.4123448567,4.1,0.385,52.5260467859,10.7907348243,2.0934205311,76.6493,29.7086,91.9815,11.3405601194,4.8796724695,2.5331105435,6.3676356783,12.0684386615,0.6575734887,40.0268376323,2.1265344665,42.1533720988,7.0645,3.0754485238
PiLIO60,0.4123448567,4.1,0.384,53.3693351967,10.3690901867,2.1210922042,76.3446,29.6799,92.0562,11.3463819421,5.3359946773,2.7528517462,6.8242963456,14.0801448353,0.6427324693,40.7867350495,2.1417118956,42.9284469452,7.0747,2.8110445775
PiLIO60,0.407203361,4.1,0.383,52.8771929825,10.4802552852,1.9937146273,76.3727,29.7897,91.91,11.3440261293,4.8382299481,3.1161636563,7.0402215939,15.0522383914,0.6416404829,40.0268376323,2.1265344665,42.1533720988,7.0273,3.1286658515
PiLIO60,0.4123448567,4.1,0.384,52.9260467859,10.5790734824,2.0342053111,67.7582,29.5247,91.8899,11.349406987,4.8796724695,2.7715738151,6.9520309862,15.1404289991,0.6545734887,40.0268376323,2.1265344665,42.1533720988,7.1245,3.1454485238
PiLIO80,0.3839499045,4,0.401,59.9041533546,12.1282973621,2.8822593477,67.7745,29.7627,85.0093,10.7643048671,4.9228410492,3.2917918475,6.5372204295,13.7244727645,0.6453329785,36.8809167912,4.4915794718,41.3724962631,7.547,3.0696930307
PiLIO80,0.3698691605,4,0.4,59.601342017,13.0071884984,2.2641434263,67.7708,29.7586,85.0017,10.7632028961,4.8719053458,3.5281801786,6.2439504476,14.818072525,0.4804665496,37.5278782772,4.3217524905,41.8496307677,7.8252,3.3307924303
PiLIO80,0.3698691605,4,0.398,61.5566969577,11.4197284345,3.0723945903,67.7663,29.7745,85.0418,10.7718123589,4.8477377224,3.4401403949,6.5548621038,14.0878777507,0.9884897336,36.8809167912,4.4915794718,41.3724962631,7.887,3.2784700473
PiLIO80,0.3839499045,4,0.4,59.8041533546,12.1282973621,2.7822593477,67.7782,29.7341,85.0415,10.7647393633,4.9028410492,3.2686102148,7.3949408405,18.196635503,0.6453329785,37.5278782772,4.3217524905,41.8496307677,7.747,3.2396930307
PiLIO80,0.3698691605,4,0.398,59.701342017,13.0071884984,2.6414342629,70.1997,29.7544,85.1623,10.6939271332,4.8919053458,4.1781081062,6.8706666636,19.4466773216,0.4804665496,36.8809167912,4.4915794718,41.3724962631,7.8252,3.2307924303
PiLIO80,0.3698691605,4,0.398,59.5669695772,11.4197284345,2.7239459029,70.1962,30.089,87.6204,10.6972733606,4.8877377224,3.8585358484,7.8797810397,17.4544906,0.9884897336,37.5278782772,4.3217524905,41.8496307677,7.887,3.2784700473
PiLIO80,0.3839499045,4,0.4,59.7041533546,12.1282973621,2.8822593477,70.1787,30.1215,87.6175,10.6675164357,4.9228410492,3.4772449093,7.0008530841,17.6956283793,0.6453329785,36.8809167912,4.4915794718,41.3724962631,7.647,3.1696930307
PiLIO80,0.3698691605,4,0.398,59.601342017,13.0071884984,2.9641434263,69.8341,30.0968,87.5882,10.7127700582,4.9019053458,3.806720719,6.8010315285,17.1127160247,0.4804665496,37.5278782772,4.3217524905,41.8496307677,7.7252,3.2907924303
PiLIO80,0.3698691605,4,0.398,60.5566969577,11.4197284345,2.8723945903,69.246,29.9083,87.6685,10.6610403683,4.8477377224,3.4168962031,6.1364666504,19.8505398464,0.9884897336,37.5278782772,4.3217524905,41.8496307677,7.887,3.2084700473
